Launching bench harness with command:
C:\Users\EKO\AppData\Local\Programs\Python\Python311\python.exe cx505_capture_service.py --config config\live_rehearsal.toml --protocols config\protocols.toml --database data\live_rehearsal_ui.sqlite --health-api-port 8052 --watchdog-timeout 10.0 --watchdog-poll 2.0 --status-every 5 --window 2.0 --idle 1.0
Health API listening on http://127.0.0.1:8052/health
Session 2 started for device CX505
Frames: 548, Bytes: 54838, Session: 2
Frames: 552, Bytes: 55238, Session: 2
Frames: 556, Bytes: 55638, Session: 2
Frames: 560, Bytes: 56038, Session: 2
Frames: 564, Bytes: 56438, Session: 2
Frames: 568, Bytes: 56838, Session: 2
Frames: 572, Bytes: 57238, Session: 2
Frames: 576, Bytes: 57638, Session: 2
Frames: 580, Bytes: 58038, Session: 2
Frames: 584, Bytes: 58438, Session: 2
Frames: 588, Bytes: 58838, Session: 2
Frames: 592, Bytes: 59238, Session: 2
Frames: 596, Bytes: 59638, Session: 2
Frames: 600, Bytes: 60038, Session: 2
Frames: 604, Bytes: 60438, Session: 2
Frames: 608, Bytes: 60838, Session: 2
Frames: 612, Bytes: 61238, Session: 2
Frames: 616, Bytes: 61638, Session: 2
Frames: 620, Bytes: 62038, Session: 2
Frames: 624, Bytes: 62438, Session: 2
Frames: 628, Bytes: 62838, Session: 2
Frames: 632, Bytes: 63238, Session: 2
Frames: 636, Bytes: 63638, Session: 2
Frames: 640, Bytes: 64038, Session: 2
Frames: 644, Bytes: 64438, Session: 2
Frames: 648, Bytes: 64838, Session: 2
Frames: 652, Bytes: 65238, Session: 2
Frames: 656, Bytes: 65638, Session: 2
Frames: 660, Bytes: 66038, Session: 2
Frames: 664, Bytes: 66438, Session: 2
Frames: 668, Bytes: 66838, Session: 2
Frames: 672, Bytes: 67238, Session: 2
Frames: 676, Bytes: 67638, Session: 2
Frames: 680, Bytes: 68038, Session: 2
Frames: 684, Bytes: 68438, Session: 2
Frames: 688, Bytes: 68838, Session: 2
Frames: 692, Bytes: 69238, Session: 2
Frames: 696, Bytes: 69638, Session: 2
Frames: 700, Bytes: 70038, Session: 2
Frames: 704, Bytes: 70438, Session: 2
Frames: 708, Bytes: 70838, Session: 2
Frames: 712, Bytes: 71238, Session: 2
Frames: 716, Bytes: 71638, Session: 2
Frames: 720, Bytes: 72038, Session: 2
Frames: 724, Bytes: 72438, Session: 2
Frames: 728, Bytes: 72838, Session: 2
Frames: 732, Bytes: 73238, Session: 2
Frames: 736, Bytes: 73638, Session: 2
Frames: 740, Bytes: 74038, Session: 2
Frames: 744, Bytes: 74438, Session: 2
Frames: 748, Bytes: 74838, Session: 2
Frames: 752, Bytes: 75238, Session: 2
Frames: 756, Bytes: 75638, Session: 2
Frames: 760, Bytes: 76038, Session: 2
Frames: 764, Bytes: 76438, Session: 2
Frames: 768, Bytes: 76838, Session: 2
Frames: 772, Bytes: 77238, Session: 2
Frames: 776, Bytes: 77638, Session: 2
Frames: 780, Bytes: 78038, Session: 2
Frames: 784, Bytes: 78438, Session: 2
Frames: 788, Bytes: 78838, Session: 2
Frames: 792, Bytes: 79238, Session: 2
Frames: 796, Bytes: 79638, Session: 2
Frames: 800, Bytes: 80038, Session: 2
Frames: 804, Bytes: 80438, Session: 2
Frames: 808, Bytes: 80838, Session: 2
Frames: 812, Bytes: 81238, Session: 2
Frames: 816, Bytes: 81638, Session: 2
Frames: 820, Bytes: 82038, Session: 2
Frames: 824, Bytes: 82438, Session: 2
Frames: 828, Bytes: 82838, Session: 2
Frames: 832, Bytes: 83238, Session: 2
Frames: 836, Bytes: 83638, Session: 2
Frames: 840, Bytes: 84038, Session: 2
Frames: 844, Bytes: 84438, Session: 2
Frames: 848, Bytes: 84838, Session: 2
Frames: 852, Bytes: 85238, Session: 2
Frames: 856, Bytes: 85638, Session: 2
Frames: 860, Bytes: 86038, Session: 2
Frames: 864, Bytes: 86438, Session: 2
Frames: 868, Bytes: 86838, Session: 2
Frames: 872, Bytes: 87238, Session: 2
Frames: 876, Bytes: 87638, Session: 2
Frames: 880, Bytes: 88038, Session: 2
Frames: 884, Bytes: 88438, Session: 2
Frames: 888, Bytes: 88838, Session: 2
Frames: 892, Bytes: 89238, Session: 2
Frames: 896, Bytes: 89638, Session: 2
Frames: 900, Bytes: 90038, Session: 2
Frames: 904, Bytes: 90438, Session: 2
Frames: 908, Bytes: 90838, Session: 2
Frames: 912, Bytes: 91238, Session: 2
Frames: 916, Bytes: 91638, Session: 2
Frames: 920, Bytes: 92038, Session: 2
Frames: 924, Bytes: 92438, Session: 2
Frames: 928, Bytes: 92838, Session: 2
Frames: 932, Bytes: 93238, Session: 2
Frames: 936, Bytes: 93638, Session: 2
Frames: 940, Bytes: 94038, Session: 2
Frames: 944, Bytes: 94438, Session: 2
Frames: 948, Bytes: 94838, Session: 2
Frames: 952, Bytes: 95238, Session: 2
Frames: 956, Bytes: 95638, Session: 2
Frames: 960, Bytes: 96038, Session: 2
Frames: 964, Bytes: 96438, Session: 2
Frames: 968, Bytes: 96838, Session: 2
Frames: 972, Bytes: 97238, Session: 2
Frames: 976, Bytes: 97638, Session: 2
Frames: 980, Bytes: 98038, Session: 2
Frames: 984, Bytes: 98438, Session: 2
Frames: 988, Bytes: 98838, Session: 2
Frames: 992, Bytes: 99238, Session: 2
Frames: 996, Bytes: 99638, Session: 2
Frames: 1000, Bytes: 100038, Session: 2
Frames: 1004, Bytes: 100438, Session: 2
Frames: 1008, Bytes: 100838, Session: 2
Frames: 1012, Bytes: 101238, Session: 2
Frames: 1016, Bytes: 101638, Session: 2
Frames: 1020, Bytes: 102038, Session: 2
Frames: 1024, Bytes: 102438, Session: 2
Frames: 1028, Bytes: 102838, Session: 2
Frames: 1032, Bytes: 103238, Session: 2
Frames: 1036, Bytes: 103638, Session: 2
Frames: 1040, Bytes: 104038, Session: 2
Frames: 1044, Bytes: 104438, Session: 2
Frames: 1048, Bytes: 104838, Session: 2
